X(m)	TotalField(nT)
0	-0.29
1	-0.26
2	-0.33
3	-0.34
4	-0.30
5	-0.39
6	-0.41
7	-0.37
8	-0.40
9	-0.41
10	-0.41
11	-0.46
12	-0.42
13	-0.56
14	-0.47
15	-0.49
16	-0.56
17	-0.52
18	-0.53
19	-0.51
20	-0.59
21	-0.51
22	-0.64
23	-0.72
24	-0.59
25	-0.70
26	-0.73
27	-0.55
28	-0.55
29	-0.67
30	-0.59
31	-0.61
32	-0.55
33	-0.44
34	-0.31
35	-0.08
36	0.23
37	0.53
38	1.18
39	1.97
40	2.68
41	5.05
42	6.69
43	12.89
44	15.62
45	26.78
46	38.30
47	47.66
48	51.11
49	67.68
50	54.89
51	52.28
52	37.18
53	22.96
54	1.40
55	-17.94
56	-38.34
57	-40.10
58	-42.68
59	-36.84
60	-30.83
61	-24.59
62	-23.23
63	-14.11
64	-15.15
65	-13.36
66	-11.21
67	-9.49
68	-7.81
69	-7.25
70	-6.31
71	-5.15
72	-4.53
73	-4.09
74	-3.23
75	-3.34
76	-3.15
77	-2.92
78	-2.97
79	-2.30
80	-2.33
81	-2.19
82	-2.05
83	-1.57
84	-1.65
85	-1.55
86	-1.27
87	-1.23
88	-1.38
89	-1.15
90	-1.14
91	-1.05
92	-0.92
93	-0.88
94	-0.92
95	-0.76
96	-0.86
97	-0.80
98	-0.66
99	-0.67
100	-0.58
