X(m)	VerticalGradient(nT/m)
0	-0.03
1	-0.03
2	-0.04
3	-0.04
4	-0.04
5	-0.05
6	-0.05
7	-0.05
8	-0.06
9	-0.06
10	-0.06
11	-0.07
12	-0.07
13	-0.09
14	-0.08
15	-0.09
16	-0.11
17	-0.11
18	-0.12
19	-0.12
20	-0.15
21	-0.13
22	-0.18
23	-0.22
24	-0.20
25	-0.25
26	-0.29
27	-0.25
28	-0.28
29	-0.39
30	-0.41
31	-0.52
32	-0.60
33	-0.68
34	-0.83
35	-0.91
36	-1.11
37	-1.02
38	-1.35
39	-1.56
40	-1.53
41	-2.12
42	-2.00
43	-2.50
44	-1.50
45	0.04
46	3.85
47	9.16
48	12.85
49	17.63
50	13.21
51	11.57
52	7.96
53	4.92
54	-0.47
55	-6.72
56	-14.09
57	-13.29
58	-11.55
59	-7.67
60	-4.78
61	-2.76
62	-1.82
63	-0.73
64	-0.46
65	-0.19
66	-0.01
67	0.09
68	0.14
69	0.18
70	0.19
71	0.17
72	0.17
73	0.16
74	0.14
75	0.15
76	0.14
77	0.14
78	0.14
79	0.11
80	0.11
81	0.11
82	0.10
83	0.08
84	0.08
85	0.08
86	0.06
87	0.06
88	0.07
89	0.06
90	0.05
91	0.05
92	0.04
93	0.04
94	0.04
95	0.03
96	0.04
97	0.04
98	0.03
99	0.03
100	0.03
